property_name,is_single_unit,address,description,star_rating,country,city,currency,state,lng,lat,user_email,category,language,images,amenities,checkin_time_from,checkin_time_to,checkout_time_from,checkout_time_to,children_allowed,extra_beds_available,extra_bed_cost,pets_allowed,pet_fee,pet_details,cancellations_allowed,cancellation_deadline_days,cancellation_fee_type,cancellation_fee_amount,refundable,additional_notes,base_price_per_night,seasonal_price,discount_percentage
Hotel Orchid,False,"Lakeside, Pokhara",A beautiful hotel with excellent facilities.,5,Nepal,Pokhara,NPR,Gandaki,83.9559,28.2001,owner4@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Bar', 'Gym', 'Restaurant', 'Pool', 'Parking']",14:00,23:00,06:00,12:00,False,False,15.94,False,7.28,,True,5,fixed,19.59,True,Cancellation policy applies as per booking terms.,176.61,77.85,15
Hotel White Pearl,False,"Lakeside, Pokhara",A beautiful lodge with excellent facilities.,3,Nepal,Pokhara,NPR,Gandaki,83.9556,28.2185,owner2@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Gym', 'Pool', 'Spa', 'WiFi', 'Bar', 'Parking']",14:00,23:00,06:00,12:00,True,True,,True,8.51,Only small pets allowed,True,9,none,12.99,False,Cancellation policy applies as per booking terms.,101.11,78.2,0
Hotel Mount View,False,"Lakeside, Pokhara",A beautiful lodge with excellent facilities.,3,Nepal,Pokhara,NPR,Gandaki,83.9533,28.2199,owner18@example.com,Hotel,English,"[""image1.jpg"", ""image2.jpg""]","['Gym', 'Parking', 'Spa', 'WiFi', 'Restaurant']",14:00,23:00,06:00,12:00,True,False,,True,,Only small pets allowed,True,8,fixed,39.66,True,Cancellation policy applies as per booking terms.,161.77,72.97,6
Hotel Peninsula,False,"Lakeside, Pokhara",A beautiful lodge with excellent facilities.,4,Nepal,Pokhara,NPR,Gandaki,83.9598,28.2185,owner2@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Pool', 'Restaurant', 'Parking']",14:00,23:00,06:00,12:00,False,True,,True,,,True,3,fixed,29.27,True,Cancellation policy applies as per booking terms.,76.01,212.55,10
Pokhara Batika,False,"Lakeside, Pokhara",A beautiful lodge with excellent facilities.,4,Nepal,Pokhara,NPR,Gandaki,83.9638,28.215,owner6@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Restaurant', 'Bar', 'Spa', 'Pool', 'WiFi', 'Gym']",14:00,23:00,06:00,12:00,False,True,5.63,True,,Only small pets allowed,True,3,percentage,23.78,False,Cancellation policy applies as per booking terms.,185.78,82.97,13
Dahlia Boutique Hotel,False,"Lakeside, Pokhara",A beautiful hotel with excellent facilities.,4,Nepal,Pokhara,NPR,Gandaki,83.9507,28.2114,owner16@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Gym', 'Restaurant', 'WiFi', 'Parking', 'Pool', 'Spa']",14:00,23:00,06:00,12:00,False,True,7.36,True,,Only small pets allowed,True,10,none,12.39,False,Cancellation policy applies as per booking terms.,76.53,223.91,2
Hotel Queens Park,False,"Lakeside, Pokhara",A beautiful hotel with excellent facilities.,3,Nepal,Pokhara,NPR,Gandaki,83.9552,28.2059,owner8@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Spa', 'WiFi', 'Pool', 'Gym', 'Bar']",14:00,23:00,06:00,12:00,True,True,,True,,Only small pets allowed,True,10,none,13.19,True,Cancellation policy applies as per booking terms.,88.66,184.1,15
Hotel Adam,False,"Lakeside, Pokhara",A beautiful lodge with excellent facilities.,4,Nepal,Pokhara,NPR,Gandaki,83.9508,28.2183,owner20@example.com,Hotel,English,"[""image1.jpg"", ""image2.jpg""]","['Parking', 'WiFi', 'Restaurant', 'Spa']",14:00,23:00,06:00,12:00,True,False,,False,7.48,Only small pets allowed,True,3,none,23.94,False,Cancellation policy applies as per booking terms.,182.54,115.78,15
Hotel Kuti Resort,False,"Lakeside, Pokhara",A beautiful lodge with excellent facilities.,5,Nepal,Pokhara,NPR,Gandaki,83.958,28.2193,owner6@example.com,Hotel,English,"[""image1.jpg"", ""image2.jpg""]","['Restaurant', 'Bar', 'Pool', 'WiFi', 'Gym']",14:00,23:00,06:00,12:00,True,False,6.13,True,,,True,10,percentage,25.32,True,Cancellation policy applies as per booking terms.,97.78,110.85,6
Waterfront Resort,False,"Lakeside, Pokhara",A beautiful hotel with excellent facilities.,3,Nepal,Pokhara,NPR,Gandaki,83.9585,28.2183,owner8@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Parking', 'Gym', 'Restaurant', 'Spa']",14:00,23:00,06:00,12:00,False,False,,False,14.57,,True,10,percentage,45.77,False,Cancellation policy applies as per booking terms.,69.47,224.27,7
Hotel Asia,False,"Lakeside, Pokhara",A beautiful lodge with excellent facilities.,3,Nepal,Pokhara,NPR,Gandaki,83.9689,28.2006,owner18@example.com,Hotel,English,"[""image1.jpg"", ""image2.jpg""]","['Pool', 'WiFi', 'Bar']",14:00,23:00,06:00,12:00,True,True,6.48,True,,,True,5,percentage,29.33,False,Cancellation policy applies as per booking terms.,193.95,189.23,7
